0.25,512
0.25,1024
0.25,2048
0.5,1024
0.5,2048
0.5,3072
0.5,4096
1,2048
1,3072
1,4096
1,5120
1,6144
1,7168
1,8192
2,4096
2,5120
2,6144
2,7168
2,8192
2,9216
2,10240
2,11264
2,12288
2,13312
2,14336
2,15360
2,16384
4,8192
4,9216
4,10240
4,11264
4,12288
4,13312
4,14336
4,15360
4,16384
4,17408
4,18432
4,19456
4,20480
4,21504
4,22528
4,23552
4,24576
4,25600
4,26624
4,27648
4,28672
4,29696
4,30720
8,16384
8,20480
8,24576
8,28672
8,32768
8,36864
8,40960
8,45056
8,49152
8,53248
8,57344
8,61440
16,32768
16,40960
16,49152
16,57344
16,65536
16,73728
16,81920
16,90112
16,98304
16,106496
16,114688
16,122880
